Component	Variance	Cumulative Variance
1              	0.149          	0.15           
2              	0.136          	0.29           
3              	0.118          	0.40           
4              	0.084          	0.49           
5              	0.058          	0.54           
6              	0.049          	0.59           
7              	0.043          	0.64           
8              	0.037          	0.67           
9              	0.034          	0.71           
10             	0.031          	0.74           
11             	0.024          	0.76           
12             	0.023          	0.78           
13             	0.018          	0.80           
14             	0.018          	0.82           
15             	0.015          	0.84           
16             	0.014          	0.85           
17             	0.013          	0.86           
18             	0.012          	0.88           
19             	0.010          	0.89           
20             	0.009          	0.89           
21             	0.009          	0.90           
22             	0.008          	0.91           
23             	0.008          	0.92           
24             	0.007          	0.93           
25             	0.007          	0.93           
26             	0.006          	0.94           
27             	0.006          	0.94           
28             	0.005          	0.95           
29             	0.005          	0.95           
30             	0.004          	0.96           
31             	0.004          	0.96           
32             	0.004          	0.97           
33             	0.003          	0.97           
34             	0.003          	0.97           
35             	0.003          	0.98           
36             	0.003          	0.98           
37             	0.003          	0.98           
38             	0.002          	0.98           
39             	0.002          	0.99           
40             	0.002          	0.99           
41             	0.002          	0.99           
42             	0.002          	0.99           
43             	0.002          	0.99           
44             	0.001          	0.99           
45             	0.001          	1.00           
46             	0.001          	1.00           
47             	0.001          	1.00           
48             	0.001          	1.00           
49             	0.001          	1.00           
50             	0.000          	1.00           
51             	0.000          	1.00           
52             	0.000          	1.00           
53             	0.000          	1.00           
54             	0.000          	1.00           
55             	0.000          	1.00           
56             	0.000          	1.00           
57             	0.000          	1.00           
58             	0.000          	1.00           
59             	0.000          	1.00           
60             	0.000          	1.00           
61             	0.000          	1.00           
62             	0.000          	1.00           
63             	0.000          	1.00           
64             	0.000          	1.00           
