Label	Accuracy	Sensitivity	Specificity	F1
0	0.9141773773199973	1.0	0.12324074074074075	0.9544747412590929
1	0.9097087510886364	1.0	0.09246031746031744	0.9521266219558693
2	0.9135789111822034	1.0	0.10105820105820106	0.9542224111066425
3	0.9111945397788931	1.0	0.10538720538720539	0.9529204877162961
4	0.9113576100356068	1.0	0.11342833092833092	0.9529270688721
5	0.9056511882067435	0.9954657496473353	0.09246031746031744	0.9498495796200356
6	0.9113576100356068	1.0	0.11342833092833092	0.9529270688721
7	0.9087827073690129	1.0	0.07951298701298701	0.9516600263131532
8	0.9032214689517643	1.0	0.09123015873015873	0.9484421528102719
9	0.8998440998403167	1.0	0.0	0.9470941890199265
