Label	Accuracy	Sensitivity	Specificity	F1
0	0.9035266855386491	1.0	0.0	0.949115917386475
1	0.9007447703283624	1.0	0.0	0.9476156102809131
2	0.9037144791929715	1.0	0.0	0.9492583239074317
3	0.9013085400333309	1.0	0.0	0.9479477044883977
4	0.9004556849057187	1.0	0.0	0.9474396836449451
5	0.9007447703283624	1.0	0.0	0.9476156102809131
6	0.9004556849057187	1.0	0.0	0.9474396836449451
7	0.9014190664453915	1.0	0.0	0.9479627592188645
8	0.894183289909108	1.0	0.0	0.9439008146870953
9	0.8998440998403167	1.0	0.0	0.9470941890199265
