Label	Accuracy	Sensitivity	Specificity	F1
0	0.9713230523479333	1.0	0.7089886964886964	0.9842788066403616
1	0.9625323171601619	1.0	0.6211375661375661	0.979572453775409
2	0.9368654976742834	0.9884294325477669	0.4387169312169312	0.9658086919758768
3	0.9271447176895518	0.9835829119713161	0.4206156806156806	0.9604110297324641
4	0.9717301100794311	1.0	0.7196729196729197	0.9844674341675907
5	0.9557316546165244	1.0	0.5408862433862434	0.975977477856109
6	0.9786457955835666	1.0	0.7795827320827321	0.9882497762685223
7	0.9717613591972538	1.0	0.7353571428571429	0.9844861092377998
8	0.9216276221143545	0.990594013866665	0.3618157768157768	0.9574134682454819
9	0.9470156980788443	0.9985046325935409	0.503553391053391	0.9712396203131254
